Date,Close
2/9/2017,69.08
2/10/2017,68.02
2/13/2017,67.77
2/14/2017,68.66
2/15/2017,68.69
2/16/2017,68.87
2/17/2017,69.37
2/21/2017,71.45
2/22/2017,71.71
2/23/2017,71.31
2/24/2017,72.39
2/27/2017,71.74
2/28/2017,70.93
3/1/2017,70.45
3/2/2017,70.76
3/3/2017,70.03
3/6/2017,69.88
3/7/2017,69.87
3/8/2017,69.80
3/9/2017,69.86
3/10/2017,70.10
3/13/2017,69.95
3/14/2017,70.72
3/15/2017,70.58
3/16/2017,70.44
3/17/2017,69.89
3/20/2017,69.98
3/21/2017,69.90
3/22/2017,70.25
3/23/2017,69.86
3/24/2017,69.61
3/27/2017,69.66
3/28/2017,70.32
3/29/2017,70.74
3/30/2017,71.59
3/31/2017,72.08
4/3/2017,71.83
4/4/2017,72.01
4/5/2017,71.65
4/6/2017,71.43
4/7/2017,72.90
4/10/2017,73.06
4/11/2017,73.43
4/12/2017,73.44
4/13/2017,73.15
4/17/2017,73.49
4/18/2017,73.89
4/19/2017,74.07
4/20/2017,74.80
4/21/2017,74.94
4/24/2017,74.78
4/25/2017,75.05
4/26/2017,75.43
4/27/2017,75.44
4/28/2017,75.18
5/1/2017,75.23
5/2/2017,75.52
5/3/2017,75.76
5/4/2017,76.34
5/5/2017,76.50
5/8/2017,76.12
5/9/2017,76.72
5/10/2017,76.70
5/11/2017,76.13
5/12/2017,75.71
5/15/2017,76.29
5/16/2017,75.11
5/17/2017,75.12
5/18/2017,77.54
5/19/2017,78.77
5/22/2017,78.55
5/23/2017,78.49
5/24/2017,78.15
5/25/2017,78.31
5/26/2017,78.13
5/30/2017,78.15
5/31/2017,78.60
6/1/2017,79.81
6/2/2017,79.62
6/5/2017,80.26
6/6/2017,78.93
6/7/2017,79.15
6/8/2017,78.93
6/9/2017,79.42
6/12/2017,79.24
6/13/2017,79.52
6/14/2017,79.90
6/15/2017,78.91
6/16/2017,75.24
6/19/2017,75.50
6/20/2017,75.54
6/21/2017,76.24
6/22/2017,75.52
6/23/2017,74.84
6/26/2017,75.50
6/27/2017,76.01
6/28/2017,76.51
6/29/2017,75.93
6/30/2017,75.68
7/3/2017,75.36
7/5/2017,75.32
7/6/2017,75.47
7/7/2017,75.33
7/10/2017,73.23
7/11/2017,73.47
7/12/2017,73.94
7/13/2017,75.05
7/14/2017,76.34
7/17/2017,76.37
7/18/2017,76.20
7/19/2017,75.87
7/20/2017,76.02
7/21/2017,76.15
7/24/2017,76.89
7/25/2017,78.52
7/26/2017,78.90
7/27/2017,79.78
7/28/2017,79.81
7/31/2017,79.99
8/1/2017,80.50
8/2/2017,80.53
8/3/2017,80.87
8/4/2017,80.48
8/7/2017,81.28
8/8/2017,81.59
8/9/2017,81.61
8/10/2017,80.66
8/11/2017,80.40
8/14/2017,80.70
8/15/2017,80.77
8/16/2017,80.98
8/17/2017,79.70
8/18/2017,79.31
8/21/2017,79.71
8/22/2017,80.02
8/23/2017,79.96
8/24/2017,78.34
8/25/2017,78.63
8/28/2017,78.03
8/29/2017,78.77
8/30/2017,78.54
8/31/2017,78.07
9/1/2017,78.37
9/5/2017,79.80
9/6/2017,80.08
9/7/2017,80.12
9/8/2017,78.88
9/11/2017,79.08
9/12/2017,79.61
9/13/2017,79.86
9/14/2017,79.68
9/15/2017,80.38
9/18/2017,80.00
9/19/2017,80.05
9/20/2017,80.50
9/21/2017,80.01
9/22/2017,79.53
9/25/2017,79.15
9/26/2017,79.39
9/27/2017,79.29
9/28/2017,78.95
9/29/2017,78.14
10/2/2017,78.45
